Question,openai_gpt-3.5-turbo_1,openai_gpt-3.5-turbo_2,openai_gpt-4o-mini_1,openai_gpt-4o-mini_2,ollama_llama3,gpt-4o-mini_student_teacher,ollama_gemma_student_teacher,gpt-4o-mini_blind
Jesus is the Son of God answered by gemma Bible Translator,80.0,95.0,90.0,90.0,60.0,80.0,85.0,70.0
Use term 'Father' when referring to God answered by gemma Bible Translator,85.0,90.0,95.0,95.0,80.0,85.0,85.0,75.0
Multiple gods answered by gemma Bible Translator,75.0,65.0,75.0,70.0,40.0,80.0,90.0,92.0
Physical offspring of God answered by gemma Bible Translator,80.0,85.0,90.0,90.0,80.0,80.0,90.0,90.0
Avoid 'Son of God' answered by gemma Bible Translator,90.0,95.0,95.0,95.0,95.0,90.0,85.0,85.0
Jesus is Lord answered by gemma Bible Translator,85.0,90.0,90.0,85.0,85.0,80.0,90.0,90.0
One God answered by gemma Bible Translator,90.0,80.0,90.0,90.0,60.0,70.0,95.0,70.0
Holy Spirit answered by gemma Bible Translator,75.0,80.0,75.0,70.0,20.0,80.0,85.0,90.0
Kingdom of God answered by gemma Bible Translator,85.0,90.0,90.0,80.0,80.0,65.0,85.0,90.0
Messiah answered by gemma Bible Translator,85.0,85.0,85.0,90.0,60.0,60.0,85.0,65.0
Understanding the Tabernacle answered by gemma Bible Translator,90.0,90.0,95.0,100.0,60.0,80.0,90.0,95.0
Structure of the Tabernacle answered by gemma Bible Translator,90.0,80.0,90.0,70.0,60.0,70.0,80.0,90.0
Transition from Tabernacle to Temple answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,85.0,85.0
Role of Priests answered by gemma Bible Translator,70.0,85.0,80.0,85.0,60.0,85.0,85.0,90.0
Jesus as High Priest answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,90.0,95.0
New Testament Priesthood answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,90.0,90.0
Definition of Repentance answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,90.0,95.0
